C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,00:00:00,REGULAR,0004642232,0007296104                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,04:00:00,REGULAR,0004642284,0007296176                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,08:00:00,REGULAR,0004642304,0007296260                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,12:00:00,REGULAR,0004642402,0007296549                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,16:00:00,REGULAR,0004642660,0007296991                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/29/2015,20:00:00,REGULAR,0004642956,0007297413                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/30/2015,00:00:00,REGULAR,0004643152,0007297604                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/30/2015,04:00:00,REGULAR,0004643167,0007297620                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/30/2015,08:00:00,REGULAR,0004643210,0007297951                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/30/2015,12:00:00,REGULAR,0004643382,0007298802                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/30/2015,16:00:00,REGULAR,0004643667,0007299246                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/30/2015,20:00:00,REGULAR,0004644299,0007299943                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,00:00:00,REGULAR,0004644618,0007300193                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,04:00:00,REGULAR,0004644647,0007300227                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,08:00:00,REGULAR,0004644679,0007300590                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,12:00:00,REGULAR,0004644842,0007301503                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,16:00:00,REGULAR,0004645158,0007301969                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,03/31/2015,20:00:00,REGULAR,0004645738,0007302760                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,00:00:00,REGULAR,0004646006,0007303016                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,04:00:00,REGULAR,0004646041,0007303045                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,08:00:00,REGULAR,0004646076,0007303400                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,12:00:00,REGULAR,0004646247,0007304281                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,16:00:00,REGULAR,0004646581,0007304793                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/01/2015,20:00:00,REGULAR,0004647160,0007305526                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,00:00:00,REGULAR,0004647454,0007305807                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,04:00:00,REGULAR,0004647483,0007305843                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,08:00:00,REGULAR,0004647528,0007306184                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,12:00:00,REGULAR,0004647708,0007307098                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,16:00:00,REGULAR,0004648046,0007307563                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,20:00:00,REGULAR,0004648609,0007308272                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,00:00:00,REGULAR,0004648947,0007308533                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,04:00:00,REGULAR,0004648976,0007308582                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,08:00:00,REGULAR,0004649001,0007308841                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,12:00:00,REGULAR,0004649182,0007309556                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,16:00:00,REGULAR,0004649537,0007310005                                     
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,20:00:00,REGULAR,0004649896,0007310597                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/28/2015,00:00:00,REGULAR,0004373344,0006017232                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/28/2015,04:00:00,REGULAR,0004373404,0006017276                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/28/2015,08:00:00,REGULAR,0004373416,0006017372                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/28/2015,12:00:00,REGULAR,0004373518,0006017684                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/28/2015,16:00:00,REGULAR,0004373789,0006018058                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/28/2015,20:00:00,REGULAR,0004374122,0006018412                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/29/2015,00:00:00,REGULAR,0004374334,0006018586                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/29/2015,04:00:00,REGULAR,0004374367,0006018649                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/29/2015,08:00:00,REGULAR,0004374387,0006018715                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/29/2015,12:00:00,REGULAR,0004374485,0006018972                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/29/2015,16:00:00,REGULAR,0004374700,0006019293                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/29/2015,20:00:00,REGULAR,0004375001,0006019609                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/30/2015,00:00:00,REGULAR,0004375177,0006019755                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/30/2015,04:00:00,REGULAR,0004375197,0006019771                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/30/2015,08:00:00,REGULAR,0004375243,0006020131                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/30/2015,12:00:00,REGULAR,0004375453,0006020993                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/30/2015,16:00:00,REGULAR,0004375754,0006021278                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/30/2015,20:00:00,REGULAR,0004376450,0006021779                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/31/2015,00:00:00,REGULAR,0004376721,0006021967                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/31/2015,04:00:00,REGULAR,0004376740,0006021986                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/31/2015,08:00:00,REGULAR,0004376796,0006022417                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/31/2015,12:00:00,REGULAR,0004376975,0006023269                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/31/2015,16:00:00,REGULAR,0004377276,0006023623                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,03/31/2015,20:00:00,REGULAR,0004377903,0006024177                                     
